Kabupaten/Kota,Latitude,Longitude
Aceh Utara,4.97,97.14
Pidie,5.08,96.11
Aceh Timur,4.63333,97.63333
Bireuen,5.08333,96.58333
Aceh Besar,5.38333,95.51667
Aceh Tamiang,4.25,97.96667
Aceh Barat,4.45,96.16667
Aceh Tengah,4.51,96.855
Bener Meriah,4.73015,96.86156
Nagan Raya,4.16667,96.51667
Pidie Jaya,5.15,96.21667
Aceh Selatan,3.16667,97.41667
Aceh Tenggara,3.36667,97.7
Aceh Singkil,2.41667,97.91667
Aceh Barat Daya,3.83333,96.88333
Kota Lhokseumawe,5.13333,97.06667
Kota Langsa,4.47,97.93
Gayo Lues,3.95,97.39
Kota Banda Aceh,5.54167,95.33333
Simeulue,2.61667,96.08333
Kota Subulussalam,2.75,97.93333
Aceh Jaya,4.86,95.64
Kota Sabang,5.82164,95.31086
Jembrana,-8.3,114.66667
Tabanan,-8.43333,115.06667
Badung,-8.51667,115.2
Gianyar,-8.46667,115.28333
Klungkung,-8.55,115.4
Bangli,-8.28333,115.35
Karang Asem,-8.3891,115.5393
Buleleng,-8.25,114.96667
Kota Denpasar,-8.66667,115.21663
Pandeglang,-6.63333,105.75
Lebak,-6.65,106.21667
Tangerang,-6.2,106.46667
Serang,-6.15,106.0
Kota Tangerang,-6.2,106.46667
Kota Cilegon,-6.01667,106.01667
Kota Serang,-6.15,106.0
Kota Tangerang Selatan,-6.29373,106.71244
Kab. Bengkulu Selatan,-4.35,103.03333
Kab. Rejang Lebong,-3.43333,102.71667
Kab. Bengkulu Utara,-3.33333,102.05
Kab. Kaur,-4.78179,103.36109
Kab. Seluma,-3.96644,102.47429
Kab. Lebong,-3.24278,102.3349
Kab. Kepahiang,-3.60194,102.56424
Kab. Bengkulu Tengah,-3.20679,102.12616
Kota Bengkulu,-3.81667,102.31667
Kulon Progo,-7.645,110.02694
Bantul,-7.9,110.36667
Gunung Kidul,-7.98333,110.61667
Sleman,-7.68167,110.32333
Kota Yogyakarta,-7.8,110.375
Kepulauan Seribu,-5.5985,106.55271
Kota Jakarta Selatan,-6.266,106.8135
Kota Jakarta Timur,-6.2521,106.884
Kota Jakarta Pusat,-6.1777,106.8403
Kota Jakarta Barat,-6.1676,106.7673
Kota Jakarta Utara,-6.1339,106.8823
Boalemo,0.62689,122.3568
Gorontalo,0.5728,122.2337
Pohuwato,0.7098,121.59582
Bone Bolango,0.50296,123.27501
Gorontalo Utara,0.77,122.31667
Kota Gorontalo,0.5728,122.2337
Kerinci,-2.03333,101.53333
Merangin,-2.06933,102.13303
Sarolangun,-2.3,102.65
Batang Hari,-1.75,103.11667
Muaro Jambi,-1.55214,103.82163
Tanjung Jabung Timur,-1.13198,103.61755
Tanjung Jabung Barat,-1.1544,103.24402
Tebo,-1.45576,102.37473
Bungo,-1.50222,101.96
Kota Jambi,-1.61667,103.65
Kota Sungai Penuh,-2.10896,101.32175
Bogor,-6.58333,106.71667
Sukabumi,-7.06667,106.7
Cianjur,-6.7725,107.08306
Bandung,-7.1,107.6
Garut,-7.38333,107.76667
Tasikmalaya,-7.5,108.13333
Ciamis,-7.28333,108.41667
Kuningan,-7.0,108.55
Cirebon,-6.8,108.56667
Majalengka,-6.81667,108.28333
Sumedang,-6.81667,107.98333
Indramayu,-6.45,108.16667
Subang,-6.50833,107.7025
Purwakarta,-6.58333,107.45
Karawang,-6.26667,107.41667
Bekasi,-6.24667,107.10833
Bandung Barat,-6.83333,107.48333
Pangandaran,-7.6673,108.64037
Kota Bogor,-6.58333,106.71667
Kota Sukabumi,-7.06667,106.7
Kota Bandung,-7.1,107.6
Kota Cirebon,-6.8,108.56667
Kota Bekasi,-6.24667,107.10833
Kota Depok,-6.4,106.81667
Kota Cimahi,-6.89167,107.55
Kota Tasikmalaya,-7.5,108.13333
Kota Banjar,-7.36996,108.53209
Cilacap,-7.57417,108.98861
Banyumas,-7.45,109.16667
Purbalingga,-7.28417,109.35028
Banjarnegara,-7.35111,109.5875
Kebumen,-7.63917,109.66056
